id_cotizante,cedula,nombre,edad,genero,ciudad,semanasCotizadas,declaraRenta,fondoPensiones,entidadPublica,estadoSolicitud
49,876101,humberto romero,38,F,Ibague,51,false,Colpensiones,Mininterior,Aprobado
50,875763,gabriel vargas,36,M,Leticia,33,true,Colpensiones,Mininterior,Rechazado
51,263086,daniel santa,56,M,Villavicencio,29,true,Fondo extranjero,Policia,Rechazado
53,577749,vicente caro,54,F,Tunja,50,true,Old Mutual,Armada,Rechazado
54,260932,david gonzalez,49,M,Bucaramanga,45,true,Fondo extranjero,Minsalud,Rechazado
55,956354,benito sarmiento,56,F,Barranquilla,60,false,Colpensiones,Minsalud,Aprobado
56,576399,victor cifuentes,40,F,Ibague,49,true,Porvenir,Minsalud,Rechazado
57,145079,wenceslao rojas,59,M,Neiva,27,false,Colpensiones,Inpec,Aprobado
58,388978,hector pardo,55,M,Girardot,23,true,Old Mutual,Inpec,Rechazado
62,447427,pilar rivera,40,F,Valledupar,36,true,Porvenir,Policia,Rechazado
64,594484,samuel rodrigo,36,F,Santa Rosa de Cabal,25,true,Porvenir,Inpec,Rechazado
65,875940,veronica roberto,51,F,Apartado,47,true,Porvenir,Mininterior,Rechazado
66,221320,jorge gonzalez,44,F,Manizales,41,false,Colpensiones,Armada,Aprobado
67,602745,tatiana castillo,45,M,Popayan,51,true,Colpensiones,Inpec,Rechazado
68,767458,zoraida castro,57,F,Santa Rosa de Cabal,45,true,Old Mutual,Mininterior,Rechazado
69,142553,karla garcia,41,M,Cartagena,23,true,Colpensiones,Policia,Aprobado
71,500896,karla moreno,46,M,Sincelejo,51,true,Old Mutual,Policia,Rechazado
73,798133,valeria vargas,45,F,Bucaramanga,36,false,Colpensiones,Mininterior,Aprobado
74,565922,oscar gomez,45,F,Pitalito,25,false,Colpensiones,Minsalud,Aprobado
75,793613,alexander barrios,22,M,Tunja,43,true,Colpensiones,Policia,Aprobado
78,659882,graciela quintero,35,M,Pitalito,57,false,Colpensiones,Null,Aprobado
79,770508,karina gonzalez,55,F,Manizales,44,true,Fondo extranjero,Null,Rechazado
80,616113,miriam bautista,53,F,Cartagena,44,true,Null,Armada,Rechazado
81,145651,ignacio pico,42,F,Yopal,43,false,Colpensiones,Minsalud,Aprobado
82,841869,gloria gonzalez,39,M,Pasto,36,true,Proteccion,Null,Rechazado
83,665857,alexander caro,38,M,Cartagena,42,false,Colpensiones,Minsalud,Aprobado
84,491359,pablo barrera,51,F,Bogota,28,true,Null,Minsalud,Rechazado
85,352430,fabio medina,39,M,Popayan,37,false,Colpensiones,Mininterior,Aprobado
88,555954,eliza santa,45,M,Sincelejo,45,true,Null,Policia,Rechazado
89,847717,tatiana pino,60,M,Pasto,58,true,Null,Null,Rechazado
90,695541,leandro santa,53,M,Arauca,49,false,Colpensiones,Armada,Aprobado
91,338213,ursula rojas,27,F,Cali,28,false,Colpensiones,Null,Aprobado
92,614357,patricia pino,42,F,Pereira,34,true,Colfondos,Policia,Rechazado
93,873333,manuel bautista,44,F,Santa Marta,51,true,Colpensiones,Policia,Rechazado
94,670686,montserrat roberto,58,M,Neiva,20,true,Colfondos,Policia,Rechazado
95,618432,ana salazar,50,F,Quibdo,35,false,Colpensiones,Armada,Aprobado
97,202261,ivana jimenez,52,F,Cucuta,35,true,Colfondos,Armada,Rechazado
98,184871,yadira rojas,57,M,Apartado,57,true,Proteccion,Policia,Rechazado
99,440617,emilio salcedo,57,F,Medellin,41,false,Colpensiones,Armada,Aprobado
100,400737,eugenia castro,48,F,Medellin,27,true,Proteccion,Mininterior,Rechazado
101,807704,francisco torres,44,M,Popayan,48,true,Proteccion,Minsalud,Rechazado
102,358972,juanita diaz,46,F,Santa Rosa de Cabal,25,false,Colpensiones,Minsalud,Aprobado
103,220936,ana zapata,32,M,Bogota,27,false,Colpensiones,Policia,Aprobado
104,890384,daniel hernandez,36,M,Tunja,37,false,Colpensiones,Null,Aprobado
105,703883,ricardo vasquez,39,M,Girardot,41,false,Colpensiones,Minsalud,Aprobado
107,533150,xavier martinez,57,M,Barranquilla,50,false,Colpensiones,Armada,Aprobado
108,799928,kevin alvarado,57,M,Monteria,38,true,Null,Inpec,Rechazado
109,922482,xavier castillo,54,F,Arauquita,34,false,Colpensiones,Null,Aprobado
110,144034,ricardo ruiz,59,F,Pitalito,33,false,Colpensiones,Mininterior,Aprobado
112,430709,yolanda guadalupe,21,F,Bogota,45,true,Colpensiones,Inpec,Aprobado
114,492858,zacarias gomez,21,F,Tunja,52,true,Colpensiones,Inpec,Aprobado
116,788237,francisco salcedo,48,M,Cali,38,false,Colpensiones,Armada,Aprobado
117,851707,ignacio maron,38,M,Valledupar,41,true,Old Mutual,Minsalud,Rechazado
118,685869,federico castillo,52,F,Chia,31,false,Colpensiones,Policia,Aprobado
119,209114,victor martinez,55,F,Medellin,49,true,Colfondos,Mininterior,Rechazado
120,800207,violeta bautista,40,M,Popayan,36,false,Colpensiones,Minsalud,Aprobado
122,771157,yolanda serna,55,F,Villavicencio,56,false,Colpensiones,Null,Aprobado
126,973721,samuel franco,37,M,Valledupar,40,true,Null,Minsalud,Rechazado
129,289156,olivia hernandez,40,M,Tunja,57,true,Colfondos,Minsalud,Rechazado
130,788651,ursula hernandez,48,M,Pitalito,26,true,Proteccion,Policia,Rechazado
131,480457,hugo torres,56,F,Cucuta,33,true,Fondo extranjero,Null,Rechazado
132,863910,raul ruiz,42,M,Cali,42,false,Colpensiones,Policia,Aprobado
133,995386,carlos hinojosa,30,F,Cartagena,34,true,Colpensiones,Null,Aprobado
134,545412,mariana sarmiento,37,M,Leticia,45,true,Colfondos,Armada,Rechazado
136,300086,emilio vega,36,M,Santa Marta,38,false,Colpensiones,Policia,Aprobado
138,783753,daniela andrade,29,F,Soacha,45,false,Colpensiones,Null,Aprobado
140,305075,hugo vega,49,F,Pitalito,49,false,Colpensiones,Minsalud,Aprobado
141,432129,alicia hernandez,53,F,Cartagena,40,false,Colpensiones,Armada,Aprobado
142,509225,mario garcia,43,F,Tunja,23,true,Proteccion,Null,Rechazado
143,856957,jorge garcia,44,M,Bogota,38,true,Old Mutual,Mininterior,Rechazado
144,591338,noelia lira,58,F,Arauca,44,true,Colpensiones,Armada,Rechazado
147,369482,kevin pico,50,F,Ibague,34,true,Colfondos,Mininterior,Rechazado
148,662129,zulema romero,52,F,Neiva,38,true,Porvenir,Null,Rechazado
149,735034,leandro vargas,33,M,Bucaramanga,45,false,Colpensiones,Null,Aprobado
152,997350,fabio martinez,49,F,Girardot,59,false,Colpensiones,Inpec,Aprobado
153,886917,patricia martinez,29,M,Bucaramanga,54,false,Colpensiones,Null,Aprobado
154,555600,veronica ramirez,51,F,Popayan,26,true,Colpensiones,Null,Rechazado
155,945280,patricia romero,55,M,Cali,48,true,Colfondos,Mininterior,Rechazado
156,635060,mariana delgado,41,F,Sincelejo,26,false,Colpensiones,Inpec,Aprobado
158,913716,diana marin,53,F,Tunja,21,true,Porvenir,Minsalud,Rechazado
161,162770,susana romero,52,M,Bucaramanga,31,true,Old Mutual,Policia,Rechazado
162,788593,helena soto,51,F,Bucaramanga,31,false,Colpensiones,Mininterior,Aprobado
163,444891,helena sanchez,50,M,Manizales,46,true,Fondo extranjero,Null,Rechazado
164,848081,andres gonzalez,39,F,Barranquilla,49,true,Porvenir,Policia,Rechazado
165,299294,pablo romero,52,F,Chia,48,true,Fondo extranjero,Mininterior,Rechazado
166,535283,isabela martinez,40,F,Sincelejo,39,false,Colpensiones,Armada,Aprobado
167,850742,felicia sanchez,42,M,Girardot,30,true,Colpensiones,Minsalud,Rechazado
168,518277,pilar barrera,43,M,Leticia,57,false,Colpensiones,Null,Aprobado
170,741358,carlos ron,58,F,Arauca,40,false,Colpensiones,Minsalud,Aprobado
171,524938,oscar castillo,59,M,Cucuta,59,false,Colpensiones,Inpec,Aprobado
173,636411,fabio mora,25,F,Barranquilla,60,true,Colpensiones,Null,Aprobado
174,244895,laura morales,28,M,Villavicencio,28,true,Colpensiones,Null,Aprobado
175,112209,gema perez,46,F,Tunja,42,false,Colpensiones,Armada,Aprobado
176,802162,quico ruiz,24,M,Valledupar,43,false,Colpensiones,Null,Aprobado
177,627475,ximena perez,52,F,Arauca,38,true,Old Mutual,Policia,Rechazado
179,275807,carlos reyes,56,F,Santa Marta,45,false,Colpensiones,Null,Aprobado
180,569451,gabriel ramirez,44,F,Ibague,47,false,Colpensiones,Mininterior,Aprobado
183,783525,quico soto,38,F,Villavicencio,21,false,Colpensiones,Armada,Aprobado
184,116887,noel rodrigo,41,M,Medellin,31,true,Null,Mininterior,Rechazado
187,248234,urbano gil,52,M,Cartagena,51,false,Colpensiones,Armada,Aprobado
188,523792,eugenia guadalupe,21,M,Florencia,33,false,Colpensiones,Null,Aprobado
189,921126,jorge alfaro,47,F,Bucaramanga,29,false,Colpensiones,Armada,Aprobado
195,466524,elsa mendoza,59,F,Villavicencio,50,false,Colpensiones,Armada,Aprobado
197,704645,veronica silva,56,M,Barranquilla,20,false,Colpensiones,Policia,Aprobado
198,913098,norma sarmiento,47,F,Quibdo,31,true,Porvenir,Minsalud,Rechazado
200,729471,fernando perez,23,M,Bogota,54,true,Colpensiones,Armada,Aprobado
201,737203,lucas reyes,51,F,Girardot,42,false,Colpensiones,Inpec,Aprobado
202,788158,bruno herrera,60,F,Pasto,58,true,Colfondos,Null,Rechazado
204,172627,eduardo santa,55,F,Medellin,25,true,Null,Inpec,Rechazado
205,443296,pablo perez,43,F,Arauquita,57,false,Colpensiones,Armada,Aprobado
207,553313,zacarias alvarado,56,F,Cali,50,true,Proteccion,Policia,Rechazado
208,125610,blanca herrera,38,M,Bogota,29,false,Colpensiones,Minsalud,Aprobado
209,521755,federico lopez,47,M,Tunja,58,false,Colpensiones,Armada,Aprobado
211,669013,ricardo mora,55,F,Yopal,41,true,Fondo extranjero,Null,Rechazado
212,530394,zulema perez,40,F,Cali,49,false,Colpensiones,Mininterior,Aprobado
213,531151,pablo lopez,30,F,Barranquilla,20,true,Colpensiones,Null,Aprobado
214,565275,leonardo bautista,30,F,Soacha,48,false,Colpensiones,Null,Aprobado
216,364481,tatiana alvarez,35,M,Armenia,20,true,Colpensiones,Armada,Aprobado
217,223296,cristobal pardo,54,M,Popayan,22,false,Colpensiones,Policia,Aprobado
218,952761,juanita perez,60,F,Apartado,24,true,Colpensiones,Armada,Aprobado
219,672606,daniela delgado,52,F,Manizales,45,false,Colpensiones,Minsalud,Aprobado
220,589482,bianca alvarez,41,M,Villavicencio,30,false,Colpensiones,Policia,Aprobado
221,273804,pilar ruiz,31,M,Pasto,36,false,Colpensiones,Null,Aprobado
222,196456,claudia torres,47,M,Villavicencio,44,true,Proteccion,Minsalud,Rechazado
223,869118,benjaman pineda,58,F,Bucaramanga,33,false,Colpensiones,Inpec,Aprobado
224,886727,yolanda salas,54,F,Tunja,46,false,Colpensiones,Armada,Aprobado
225,731402,hugo vazquez,46,M,Santa Marta,44,false,Colpensiones,Minsalud,Aprobado
228,735223,sergio ruiz,49,M,Ibague,40,false,Colpensiones,Policia,Aprobado
229,429454,gabriel soto,56,F,Chia,49,true,Proteccion,Armada,Rechazado
231,427831,ivana martinez,52,M,Cartagena,54,false,Colpensiones,Minsalud,Aprobado
233,246499,marta perez,50,F,Inirida,40,true,Null,Mininterior,Rechazado
234,159898,laura rivas,52,M,Quibdo,58,true,Fondo extranjero,Null,Rechazado
235,200760,kira fuentes,56,M,Pereira,58,false,Colpensiones,Armada,Aprobado
236,108215,hugo pino,60,M,Valledupar,40,false,Colpensiones,Null,Aprobado
237,809743,diana garcia,40,F,Girardot,49,true,Proteccion,Armada,Rechazado
238,567867,miriam garcia,36,M,Monteria,45,false,Colpensiones,Inpec,Aprobado
239,581230,humberto zapata,49,M,Apartado,45,false,Colpensiones,Armada,Aprobado
240,526741,leonardo gonzalez,38,M,Pasto,37,true,Proteccion,Armada,Rechazado
241,445234,daniel pineda,42,M,Inirida,56,false,Colpensiones,Mininterior,Aprobado
242,893365,samuel montero,44,F,Arauquita,42,false,Colpensiones,Minsalud,Aprobado
243,330412,silvia guzman,59,F,Monteria,41,true,Old Mutual,Minsalud,Rechazado
244,953918,zacarias delgado,42,M,Arauquita,32,false,Colpensiones,Mininterior,Aprobado
248,954885,julieta alvarado,53,M,Bogota,59,true,Null,Inpec,Rechazado
249,549695,quico cifuentes,51,F,Riohacha,60,true,Colfondos,Policia,Rechazado
251,846617,benito rojas,52,F,Medellin,47,true,Colfondos,Armada,Rechazado
253,311916,olga gomez,37,F,Quibdo,20,true,Fondo extranjero,Null,Rechazado
254,392322,nerea murillo,44,M,Chia,49,false,Colpensiones,Policia,Aprobado
255,764885,ignacio mora,21,F,Chia,21,false,Colpensiones,Null,Aprobado
256,372822,roberto silva,50,F,Cucuta,30,true,Null,Null,Rechazado
257,273588,ximena torres,20,M,Chia,28,true,Colpensiones,Null,Aprobado
258,685308,sofia torres,38,M,Girardot,53,true,Null,Minsalud,Rechazado
261,187674,felicia rodriguez,43,F,Inirida,48,false,Colpensiones,Armada,Aprobado
262,786448,beto zapata,48,M,Tunja,27,false,Colpensiones,Policia,Aprobado
266,860290,federico mora,47,F,Monteria,27,false,Colpensiones,Armada,Aprobado
268,271785,walter aguilar,46,M,Pasto,45,true,Fondo extranjero,Minsalud,Rechazado
269,542536,carlos torres,56,F,Pasto,33,false,Colpensiones,Mininterior,Aprobado
270,672992,kira castillo,45,F,Ibague,49,false,Colpensiones,Mininterior,Aprobado
272,402960,veronica rojas,48,M,Riohacha,54,false,Colpensiones,Armada,Aprobado
273,631511,noel hernandez,50,F,Cucuta,51,false,Colpensiones,Armada,Aprobado
275,983043,victor vega,44,F,Bogota,41,true,Proteccion,Minsalud,Rechazado
276,815417,kira cameron,52,M,Santa Marta,56,false,Colpensiones,Armada,Aprobado
278,751216,hugo rodriguez,51,M,Cali,42,false,Colpensiones,Null,Aprobado
279,692968,javier gomez,59,M,Valledupar,32,false,Colpensiones,Mininterior,Aprobado
280,288482,walter ramirez,55,F,Soacha,52,false,Colpensiones,Null,Aprobado
281,994037,blanca gonzalez,39,F,Barranquilla,28,false,Colpensiones,Minsalud,Aprobado
282,200144,wenceslao cameron,58,F,Leticia,21,true,Fondo extranjero,Policia,Rechazado
284,740054,montserrat reyes,35,F,Cucuta,31,true,Colpensiones,Inpec,Aprobado
286,406587,juan ron,58,F,Pereira,26,true,Old Mutual,Inpec,Rechazado
287,867129,gabriel alfaro,38,F,Inirida,37,false,Colpensiones,Minsalud,Aprobado
288,558503,esteban romero,44,M,Apartado,42,false,Colpensiones,Mininterior,Aprobado
289,538077,teresa garcia,42,F,Ibague,53,true,Old Mutual,Mininterior,Rechazado
291,312453,victor hernandez,45,M,Girardot,23,true,Null,Mininterior,Rechazado
294,495646,patricia gonzalez,32,M,Manizales,41,true,Colpensiones,Null,Aprobado
295,147370,angela serrano,57,M,Santa Marta,21,false,Colpensiones,Inpec,Aprobado
296,805188,gema martinez,41,F,Valledupar,36,false,Colpensiones,Null,Aprobado
299,772585,xavier montero,47,F,Cucuta,34,true,Colfondos,Policia,Rechazado
300,770569,teresa quintero,57,F,Sincelejo,47,true,Colpensiones,Inpec,Rechazado
301,837325,walter rodrigo,55,F,Monteria,55,true,Fondo extranjero,Minsalud,Rechazado
302,579413,sonia medina,24,M,Valledupar,31,false,Colpensiones,Null,Aprobado
303,452509,karen bernal,36,F,Girardot,51,true,Porvenir,Policia,Rechazado
304,619262,raul vega,43,M,Tunja,54,false,Colpensiones,Inpec,Aprobado
305,924331,zoe jimenez,50,F,Pereira,45,true,Porvenir,Inpec,Rechazado
306,844135,hugo hernandez,59,M,Santa Rosa de Cabal,21,false,Colpensiones,Null,Aprobado
307,206235,vicente montero,24,M,Monteria,55,true,Colpensiones,Null,Aprobado
308,825417,noel mora,25,M,Soacha,38,false,Colpensiones,Null,Aprobado
309,509707,ximena gonzalez,37,M,Arauquita,53,false,Colpensiones,Null,Aprobado
311,115794,felicia calderon,43,M,Barranquilla,47,false,Colpensiones,Mininterior,Aprobado
312,984281,fabio pinto,46,F,Valledupar,43,false,Colpensiones,Inpec,Aprobado
314,168885,pedro pineda,38,M,Monteria,26,true,Colfondos,Armada,Rechazado
316,128008,elsa gonzalez,41,M,Arauquita,60,true,Colpensiones,Minsalud,Rechazado
317,266141,zoraida moreno,56,M,Cali,31,false,Colpensiones,Minsalud,Aprobado
318,728084,federico juarez,43,F,Sincelejo,24,true,Old Mutual,Inpec,Rechazado
320,757209,pablo lopez,49,F,Armenia,42,true,Null,Armada,Rechazado
321,918692,gloria perez,52,M,Cucuta,56,false,Colpensiones,Inpec,Aprobado
322,727498,nadia montero,34,F,Arauquita,22,true,Colpensiones,Null,Aprobado
324,926395,raul hinojosa,58,F,Sincelejo,29,true,Colpensiones,Inpec,Rechazado
325,843962,alexander rojas,45,F,Ibague,53,true,Colpensiones,Null,Rechazado
326,547124,marta gonzalez,59,M,Pasto,54,false,Colpensiones,Armada,Aprobado
327,419555,claudia sarmiento,55,F,Leticia,38,false,Colpensiones,Armada,Aprobado
328,850500,juanita castillo,52,M,Riohacha,60,true,Fondo extranjero,Minsalud,Rechazado
329,394810,julieta gonzalez,52,M,Cartagena,31,true,Fondo extranjero,Mininterior,Rechazado
330,465012,laura sanchez,44,M,Manizales,24,false,Colpensiones,Minsalud,Aprobado
331,383975,norma mendoza,47,F,Santa Rosa de Cabal,29,true,Colpensiones,Inpec,Rechazado
333,221275,urbano ferrari,40,F,Pereira,49,true,Porvenir,Null,Rechazado
335,701664,luisana aguilar,42,M,Pitalito,27,true,Proteccion,Armada,Rechazado
336,214365,karina garcia,37,F,Inirida,47,false,Colpensiones,Null,Aprobado
337,190029,luis gomez,21,F,Girardot,33,false,Colpensiones,Null,Aprobado
338,779646,carlos gomez,32,F,Riohacha,48,false,Colpensiones,Null,Aprobado
339,539315,tatiana franco,56,F,Girardot,48,false,Colpensiones,Minsalud,Aprobado
340,665422,samuel bautista,44,M,Valledupar,26,true,Colfondos,Armada,Rechazado
341,256058,wenceslao guadalupe,48,M,Chia,34,true,Colpensiones,Armada,Rechazado
343,384481,pedro silva,51,F,Quibdo,39,true,Colfondos,Armada,Rechazado
344,398282,oscar delgado,26,F,Florencia,29,true,Colpensiones,Null,Aprobado
345,606725,isabel castillo,37,M,Valledupar,56,true,Colpensiones,Null,Rechazado
346,484534,silvia bustos,21,F,Manizales,28,true,Colpensiones,Null,Aprobado
348,697240,angela hinojosa,43,F,Soacha,40,false,Colpensiones,Inpec,Aprobado
349,694541,montserrat pico,52,F,Bogota,26,true,Colfondos,Policia,Rechazado
350,839948,daniel roa,60,F,Cucuta,30,false,Colpensiones,Mininterior,Aprobado
351,905158,hector hidalgo,43,F,Ibague,46,true,Fondo extranjero,Policia,Rechazado
352,613997,alfonso doris,43,M,Medellin,48,true,Colfondos,Mininterior,Rechazado
354,258887,pablo alvarado,42,F,Chia,57,true,Porvenir,Null,Rechazado
355,357662,isabela barrera,59,M,Cali,35,true,Fondo extranjero,Mininterior,Rechazado
356,140327,yolanda martinez,38,F,Chia,50,false,Colpensiones,Mininterior,Aprobado
358,720241,eduardo pino,44,M,Popayan,51,false,Colpensiones,Inpec,Aprobado
359,745744,raul gomez,37,M,Yopal,48,false,Colpensiones,Armada,Aprobado
360,769965,josue garcia,47,M,Popayan,34,false,Colpensiones,Null,Aprobado
361,786149,hugo quintana,52,F,Chia,30,true,Null,Armada,Rechazado
362,736159,cristobal medina,42,M,Armenia,55,false,Colpensiones,Policia,Aprobado
363,432092,marcos castro,36,M,Monteria,45,false,Colpensiones,Mininterior,Aprobado
365,933941,isabela barrios,20,F,Bogota,28,true,Colpensiones,Minsalud,Aprobado
366,515022,susana gonzalez,42,F,Apartado,22,true,Old Mutual,Armada,Rechazado
367,287967,fabiola delgado,44,M,Arauquita,30,true,Old Mutual,Inpec,Rechazado
369,366302,ricardo reyes,50,M,Pereira,45,false,Colpensiones,Mininterior,Aprobado
370,538217,ximena zapata,37,M,Barranquilla,52,false,Colpensiones,Mininterior,Aprobado
373,675003,karen fuentes,38,M,Arauca,45,true,Fondo extranjero,Armada,Rechazado
374,867777,helena vargas,56,M,Pasto,52,true,Proteccion,Mininterior,Rechazado
375,158196,nerea rojas,34,M,Ibague,25,false,Colpensiones,Null,Aprobado
376,114644,ivonne sanchez,49,F,Barranquilla,28,true,Proteccion,Inpec,Rechazado
377,975327,esteban caro,43,M,Santa Marta,21,true,Fondo extranjero,Policia,Rechazado
378,319762,samuel castillo,50,F,Cali,33,false,Colpensiones,Policia,Aprobado
379,973151,samuel serrano,39,M,Soacha,34,true,Porvenir,Mininterior,Rechazado
381,776440,leandro alfaro,31,M,Tunja,24,false,Colpensiones,Inpec,Aprobado
382,210756,silvia moreno,54,M,Soacha,31,true,Colpensiones,Mininterior,Rechazado
383,555855,karen torres,47,M,Pitalito,52,true,Proteccion,Inpec,Rechazado
384,956099,olga mendoza,46,M,Apartado,32,true,Colfondos,Armada,Rechazado
386,170055,juan rodriguez,45,F,Apartado,45,false,Colpensiones,Null,Aprobado
387,276643,raul quintero,36,M,Arauca,24,false,Colpensiones,Policia,Aprobado
388,625017,zoe delgado,40,M,Cucuta,27,true,Proteccion,Armada,Rechazado
389,260388,alexander rodrigo,55,M,Barranquilla,30,false,Colpensiones,Policia,Aprobado
390,301654,jose vargas,25,M,Monteria,54,false,Colpensiones,Null,Aprobado
391,128242,federico reyes,58,M,Bucaramanga,52,true,Proteccion,Inpec,Rechazado
392,663808,teresa gomez,55,F,Pitalito,39,false,Colpensiones,Null,Aprobado
395,249579,diana delgado,51,M,Popayan,44,false,Colpensiones,Mininterior,Aprobado
396,893946,gloria hinojosa,22,F,Riohacha,33,true,Colpensiones,Null,Aprobado
397,144441,eduardo torres,60,M,Cucuta,48,false,Colpensiones,Armada,Aprobado
400,275728,ursula caro,45,M,Bogota,47,true,Colfondos,Inpec,Rechazado
403,170854,gloria gonzalez,29,F,Florencia,59,true,Colpensiones,Null,Aprobado
404,991931,angela salazar,53,F,Sincelejo,27,true,Null,Null,Rechazado
405,331119,hugo marin,59,F,Pereira,46,false,Colpensiones,Inpec,Aprobado
406,599765,violeta torres,35,M,Neiva,43,true,Colpensiones,Armada,Aprobado
407,596492,bruno soto,42,M,Bogota,26,true,Old Mutual,Minsalud,Rechazado
408,922232,pedro montero,52,M,Chia,58,true,Proteccion,Policia,Rechazado
410,358890,iris alfaro,39,M,Pitalito,51,false,Colpensiones,Inpec,Aprobado
411,217094,gonzalo caro,24,M,Medellin,53,false,Colpensiones,Minsalud,Aprobado
412,953873,vicente carrillo,55,F,Monteria,59,false,Colpensiones,Minsalud,Aprobado
413,742781,oscar sierra,48,F,Soacha,60,false,Colpensiones,Policia,Aprobado
414,278588,isabela torres,52,F,Cartagena,37,false,Colpensiones,Inpec,Aprobado
417,577361,ana flores,36,F,Cali,45,true,Old Mutual,Mininterior,Rechazado
418,749419,kike caro,29,F,Armenia,44,true,Colpensiones,Null,Aprobado
419,852281,natividad ruiz,55,F,Apartado,48,false,Colpensiones,Minsalud,Aprobado
420,732369,oscar soto,29,F,Tunja,33,true,Colpensiones,Inpec,Aprobado
423,863976,yolanda alvarado,45,M,Villavicencio,30,true,Porvenir,Inpec,Rechazado
424,855517,beto jimenez,38,F,Cartagena,28,true,Colpensiones,Policia,Rechazado
426,691479,samuel cruz,54,F,Inirida,21,false,Colpensiones,Mininterior,Aprobado
427,165042,federico castillo,53,M,Sincelejo,20,true,Colpensiones,Inpec,Rechazado
428,926864,luisana ron,45,F,Monteria,37,true,Proteccion,Mininterior,Rechazado
429,706856,montserrat fuentes,39,F,Neiva,32,true,Proteccion,Mininterior,Rechazado
431,738035,zulema soto,41,M,Quibdo,45,false,Colpensiones,Armada,Aprobado
432,795877,oscar castro,58,F,Bogota,35,false,Colpensiones,Null,Aprobado
434,663385,bianca torres,47,F,Yopal,41,false,Colpensiones,Armada,Aprobado
436,995937,walter ron,56,M,Bucaramanga,24,true,Porvenir,Inpec,Rechazado
437,134069,teresa perez,58,F,Medellin,24,true,Fondo extranjero,Null,Rechazado
438,232578,alfonso marin,43,F,Bogota,36,true,Porvenir,Armada,Rechazado
439,650889,rosa cruz,55,F,Manizales,52,false,Colpensiones,Mininterior,Aprobado
442,459326,juanita diaz,59,F,Cali,26,true,Colfondos,Mininterior,Rechazado
443,137685,iris lopez,20,F,Medellin,47,true,Colpensiones,Null,Aprobado
444,643642,carmen delgado,42,M,Girardot,56,false,Colpensiones,Mininterior,Aprobado
445,578301,francisco guadalupe,53,M,Quibdo,38,false,Colpensiones,Policia,Aprobado
448,427763,oscar martinez,43,F,Sincelejo,32,false,Colpensiones,Policia,Aprobado
449,726899,xavier sarmiento,39,M,Tunja,46,false,Colpensiones,Policia,Aprobado
