id_cotizante,cedula,nombre,edad,genero,ciudad,semanasCotizadas,declaraRenta,fondoDePensiones,entidadPublica
80,616113,miriam bautista,53,F,Cartagena,44,true,Null,Armada
81,145651,ignacio pico,42,F,Yopal,43,false,Old Mutual,Minsalud
82,841869,gloria gonzalez,39,M,Pasto,36,true,Proteccion,Null
83,665857,alexander caro,38,M,Cartagena,42,false,Colfondos,Minsalud
84,491359,pablo barrera,51,F,Bogota,28,true,Null,Minsalud
85,352430,fabio medina,39,M,Popayan,37,false,Old Mutual,Mininterior
86,290476,gabriela ron,28,M,Pitalito,55,false,Proteccion,Minsalud
87,176172,carmen torres,24,F,Cartagena,21,false,Proteccion,Minsalud
88,555954,eliza santa,45,M,Sincelejo,45,true,Null,Policia
89,847717,tatiana pino,60,M,Pasto,58,true,Null,Null
90,695541,leandro santa,53,M,Arauca,49,false,Proteccion,Armada
91,338213,ursula rojas,27,F,Cali,28,false,Proteccion,Null
92,614357,patricia pino,42,F,Pereira,34,true,Colfondos,Policia
93,873333,manuel bautista,44,F,Santa Marta,51,true,Colpensiones,Policia
94,670686,montserrat roberto,58,M,Neiva,20,true,Colfondos,Policia
95,618432,ana salazar,50,F,Quibdo,35,false,Null,Armada
96,785947,oscar pineda,23,M,Pitalito,39,true,Old Mutual,Inpec
97,202261,ivana jimenez,52,F,Cucuta,35,true,Colfondos,Armada
98,184871,yadira rojas,57,M,Apartado,57,true,Proteccion,Policia
99,440617,emilio salcedo,57,F,Medellin,41,false,Colfondos,Armada
100,400737,eugenia castro,48,F,Medellin,27,true,Proteccion,Mininterior
101,807704,francisco torres,44,M,Popayan,48,true,Proteccion,Minsalud
102,358972,juanita diaz,46,F,Santa Rosa de Cabal,25,false,Colpensiones,Minsalud
103,220936,ana zapata,32,M,Bogota,27,false,Colfondos,Policia
104,890384,daniel hernandez,36,M,Tunja,37,false,Fondo extranjero,Null
105,703883,ricardo vasquez,39,M,Girardot,41,false,Colpensiones,Minsalud
106,816080,mario medina,21,M,Apartado,40,true,Proteccion,Inpec
107,533150,xavier martinez,57,M,Barranquilla,50,false,Null,Armada
108,799928,kevin alvarado,57,M,Monteria,38,true,Null,Inpec
109,922482,xavier castillo,54,F,Arauquita,34,false,Porvenir,Null
110,144034,ricardo ruiz,59,F,Pitalito,33,false,Colfondos,Mininterior
111,606726,esteban martinez,27,F,Leticia,21,false,Null,Policia
112,430709,yolanda guadalupe,21,F,Bogota,45,true,Proteccion,Inpec
113,364527,yolanda moreno,20,F,Pereira,47,false,Old Mutual,Inpec
114,492858,zacarias gomez,21,F,Tunja,52,true,Old Mutual,Inpec
115,464917,olga vasquez,20,F,Armenia,45,true,Proteccion,Policia
116,788237,francisco salcedo,48,M,Cali,38,false,Colfondos,Armada
117,851707,ignacio maron,38,M,Valledupar,41,true,Old Mutual,Minsalud
118,685869,federico castillo,52,F,Chia,31,false,Porvenir,Policia
119,209114,victor martinez,55,F,Medellin,49,true,Colfondos,Mininterior
120,800207,violeta bautista,40,M,Popayan,36,false,Null,Minsalud
121,142282,sergio delgado,20,M,Sincelejo,41,false,Null,Minsalud
122,771157,yolanda serna,55,F,Villavicencio,56,false,Proteccion,Null
123,690750,raul alfaro,26,M,Apartado,57,true,Null,Minsalud
124,656598,esteban gomez,20,M,Santa Marta,30,true,Porvenir,Policia
125,638730,mariana morales,22,F,Inirida,39,false,Fondo extranjero,Policia
126,973721,samuel franco,37,M,Valledupar,40,true,Null,Minsalud
127,783396,nicolas caro,29,M,Bucaramanga,24,false,Porvenir,Armada
128,816548,roberto sanchez,27,F,Santa Marta,45,false,Colfondos,Armada
129,289156,olivia hernandez,40,M,Tunja,57,true,Colfondos,Minsalud
130,788651,ursula hernandez,48,M,Pitalito,26,true,Proteccion,Policia
131,480457,hugo torres,56,F,Cucuta,33,true,Fondo extranjero,Null
132,863910,raul ruiz,42,M,Cali,42,false,Old Mutual,Policia
133,995386,carlos hinojosa,30,F,Cartagena,34,true,Colpensiones,Null
134,545412,mariana sarmiento,37,M,Leticia,45,true,Colfondos,Armada
135,211269,javier marin,26,F,Valledupar,40,false,Null,Inpec
136,300086,emilio vega,36,M,Santa Marta,38,false,Null,Policia
137,842375,tatiana rodrigo,28,M,Girardot,20,false,Fondo extranjero,Armada
138,783753,daniela andrade,29,F,Soacha,45,false,Null,Null
139,733160,norma jimenez,32,M,Cucuta,25,true,Colpensiones,Armada
140,305075,hugo vega,49,F,Pitalito,49,false,Old Mutual,Minsalud
141,432129,alicia hernandez,53,F,Cartagena,40,false,Old Mutual,Armada
142,509225,mario garcia,43,F,Tunja,23,true,Proteccion,Null
143,856957,jorge garcia,44,M,Bogota,38,true,Old Mutual,Mininterior
144,591338,noelia lira,58,F,Arauca,44,true,Colpensiones,Armada
145,213754,noelia ruiz,29,M,Armenia,33,false,Old Mutual,Mininterior
146,937084,tomas jimenez,33,M,Villavicencio,59,false,Colfondos,Armada
147,369482,kevin pico,50,F,Ibague,34,true,Colfondos,Mininterior
148,662129,zulema romero,52,F,Neiva,38,true,Porvenir,Null
149,735034,leandro vargas,33,M,Bucaramanga,45,false,Old Mutual,Null
150,931396,violeta jimenez,34,F,Ibague,34,true,Colpensiones,Mininterior
151,539565,noelia fuentes,21,M,Chia,51,false,Colfondos,Policia
152,997350,fabio martinez,49,F,Girardot,59,false,Porvenir,Inpec
153,886917,patricia martinez,29,M,Bucaramanga,54,false,Colfondos,Null
154,555600,veronica ramirez,51,F,Popayan,26,true,Colpensiones,Null
155,945280,patricia romero,55,M,Cali,48,true,Colfondos,Mininterior
156,635060,mariana delgado,41,F,Sincelejo,26,false,Porvenir,Inpec
157,356539,tomas reyes,22,M,Cucuta,33,true,Old Mutual,Armada
158,913716,diana marin,53,F,Tunja,21,true,Porvenir,Minsalud
159,193557,ivonne rojas,34,M,Pitalito,60,true,Porvenir,Minsalud
160,360302,rami soto,26,M,Barranquilla,54,false,Old Mutual,Mininterior
161,162770,susana romero,52,M,Bucaramanga,31,true,Old Mutual,Policia
162,788593,helena soto,51,F,Bucaramanga,31,false,Fondo extranjero,Mininterior
163,444891,helena sanchez,50,M,Manizales,46,true,Fondo extranjero,Null
164,848081,andres gonzalez,39,F,Barranquilla,49,true,Porvenir,Policia
165,299294,pablo romero,52,F,Chia,48,true,Fondo extranjero,Mininterior
166,535283,isabela martinez,40,F,Sincelejo,39,false,Colpensiones,Armada
167,850742,felicia sanchez,42,M,Girardot,30,true,Colpensiones,Minsalud
168,518277,pilar barrera,43,M,Leticia,57,false,Colpensiones,Null
169,877129,alexander reyes,22,F,Girardot,42,false,Porvenir,Inpec
170,741358,carlos ron,58,F,Arauca,40,false,Porvenir,Minsalud
171,524938,oscar castillo,59,M,Cucuta,59,false,Colpensiones,Inpec
172,258428,zacarias rodrigo,22,M,Cucuta,37,true,Null,Minsalud
173,636411,fabio mora,25,F,Barranquilla,60,true,Colfondos,Null
174,244895,laura morales,28,M,Villavicencio,28,true,Colfondos,Null
175,112209,gema perez,46,F,Tunja,42,false,Null,Armada
176,802162,quico ruiz,24,M,Valledupar,43,false,Colfondos,Null
177,627475,ximena perez,52,F,Arauca,38,true,Old Mutual,Policia
178,264720,sonia pardo,28,M,Barranquilla,30,false,Old Mutual,Mininterior
179,275807,carlos reyes,56,F,Santa Marta,45,false,Proteccion,Null
180,569451,gabriel ramirez,44,F,Ibague,47,false,Proteccion,Mininterior
181,840235,luisana medina,24,M,Neiva,51,true,Colpensiones,Policia
182,730612,kira rodriguez,28,F,Bucaramanga,51,false,Proteccion,Policia
183,783525,quico soto,38,F,Villavicencio,21,false,Fondo extranjero,Armada
184,116887,noel rodrigo,41,M,Medellin,31,true,Null,Mininterior
185,292791,lidia pardo,21,F,Arauquita,59,false,Porvenir,Inpec
186,897254,daniel vasquez,21,M,Santa Marta,45,false,Null,Policia
187,248234,urbano gil,52,M,Cartagena,51,false,Fondo extranjero,Armada
188,523792,eugenia guadalupe,21,M,Florencia,33,false,Null,Null
189,921126,jorge alfaro,47,F,Bucaramanga,29,false,Null,Armada
190,965870,oscar ramirez,24,F,Leticia,33,false,Proteccion,Minsalud
191,232531,humberto sanchez,30,F,Girardot,41,true,Colfondos,Inpec
192,982138,luis serna,20,M,Pitalito,20,false,Fondo extranjero,Minsalud
193,556095,gabriel pineda,32,M,Villavicencio,44,false,Old Mutual,Minsalud
194,176412,gabriela pico,35,F,Yopal,51,false,Porvenir,Policia
195,466524,elsa mendoza,59,F,Villavicencio,50,false,Proteccion,Armada
196,805793,oscar marin,27,M,Cucuta,51,true,Proteccion,Policia
197,704645,veronica silva,56,M,Barranquilla,20,false,Porvenir,Policia
198,913098,norma sarmiento,47,F,Quibdo,31,true,Porvenir,Minsalud
199,770396,ricardo flores,26,F,Girardot,36,true,Fondo extranjero,Inpec
200,729471,fernando perez,23,M,Bogota,54,true,Colpensiones,Armada
201,737203,lucas reyes,51,F,Girardot,42,false,Colfondos,Inpec
202,788158,bruno herrera,60,F,Pasto,58,true,Colfondos,Null
203,834021,sofia zapata,22,F,Bucaramanga,52,false,Colpensiones,Minsalud
204,172627,eduardo santa,55,F,Medellin,25,true,Null,Inpec
205,443296,pablo perez,43,F,Arauquita,57,false,Fondo extranjero,Armada
206,513445,noel gomez,20,F,Valledupar,56,false,Proteccion,Minsalud
207,553313,zacarias alvarado,56,F,Cali,50,true,Proteccion,Policia
208,125610,blanca herrera,38,M,Bogota,29,false,Old Mutual,Minsalud
209,521755,federico lopez,47,M,Tunja,58,false,Fondo extranjero,Armada
210,300601,samuel soto,20,F,Manizales,40,false,Colpensiones,Mininterior
211,669013,ricardo mora,55,F,Yopal,41,true,Fondo extranjero,Null
212,530394,zulema perez,40,F,Cali,49,false,Colfondos,Mininterior
213,531151,pablo lopez,30,F,Barranquilla,20,true,Fondo extranjero,Null
214,565275,leonardo bautista,30,F,Soacha,48,false,Colfondos,Null
215,134753,urbano rodrigo,30,F,Neiva,28,false,Fondo extranjero,Minsalud
216,364481,tatiana alvarez,35,M,Armenia,20,true,Colpensiones,Armada
217,223296,cristobal pardo,54,M,Popayan,22,false,Proteccion,Policia
218,952761,juanita perez,60,F,Apartado,24,true,Fondo extranjero,Armada
219,672606,daniela delgado,52,F,Manizales,45,false,Colfondos,Minsalud
220,589482,bianca alvarez,41,M,Villavicencio,30,false,Colfondos,Policia
221,273804,pilar ruiz,31,M,Pasto,36,false,Null,Null
222,196456,claudia torres,47,M,Villavicencio,44,true,Proteccion,Minsalud
223,869118,benjaman pineda,58,F,Bucaramanga,33,false,Old Mutual,Inpec
224,886727,yolanda salas,54,F,Tunja,46,false,Old Mutual,Armada
225,731402,hugo vazquez,46,M,Santa Marta,44,false,Porvenir,Minsalud
226,240522,isabela pinto,22,M,Leticia,53,true,Null,Minsalud
227,234350,nicolas ferrer,30,F,Barranquilla,38,false,Colpensiones,Armada
228,735223,sergio ruiz,49,M,Ibague,40,false,Null,Policia
229,429454,gabriel soto,56,F,Chia,49,true,Proteccion,Armada
230,174921,carlos rodrigo,33,M,Barranquilla,22,true,Proteccion,Minsalud
231,427831,ivana martinez,52,M,Cartagena,54,false,Proteccion,Minsalud
232,490978,ivonne pinto,20,M,Armenia,38,true,Old Mutual,Inpec
233,246499,marta perez,50,F,Inirida,40,true,Null,Mininterior
234,159898,laura rivas,52,M,Quibdo,58,true,Fondo extranjero,Null
235,200760,kira fuentes,56,M,Pereira,58,false,Old Mutual,Armada
236,108215,hugo pino,60,M,Valledupar,40,false,Colpensiones,Null
237,809743,diana garcia,40,F,Girardot,49,true,Proteccion,Armada
238,567867,miriam garcia,36,M,Monteria,45,false,Colpensiones,Inpec
239,581230,humberto zapata,49,M,Apartado,45,false,Fondo extranjero,Armada
240,526741,leonardo gonzalez,38,M,Pasto,37,true,Proteccion,Armada
241,445234,daniel pineda,42,M,Inirida,56,false,Old Mutual,Mininterior
242,893365,samuel montero,44,F,Arauquita,42,false,Colfondos,Minsalud
243,330412,silvia guzman,59,F,Monteria,41,true,Old Mutual,Minsalud
244,953918,zacarias delgado,42,M,Arauquita,32,false,Old Mutual,Mininterior
245,983494,dolores vega,29,M,Yopal,55,true,Colfondos,Armada
246,527098,hugo gonzalez,31,F,Quibdo,26,true,Colfondos,Mininterior
247,734658,norma cruz,32,M,Santa Marta,55,true,Null,Minsalud
248,954885,julieta alvarado,53,M,Bogota,59,true,Null,Inpec
249,549695,quico cifuentes,51,F,Riohacha,60,true,Colfondos,Policia
250,473926,noelia gomez,26,F,Armenia,42,false,Null,Mininterior
251,846617,benito rojas,52,F,Medellin,47,true,Colfondos,Armada
252,397857,elias castro,23,F,Soacha,35,true,Porvenir,Mininterior
253,311916,olga gomez,37,F,Quibdo,20,true,Fondo extranjero,Null
254,392322,nerea murillo,44,M,Chia,49,false,Colfondos,Policia
255,764885,ignacio mora,21,F,Chia,21,false,Old Mutual,Null
256,372822,roberto silva,50,F,Cucuta,30,true,Null,Null
257,273588,ximena torres,20,M,Chia,28,true,Old Mutual,Null
258,685308,sofia torres,38,M,Girardot,53,true,Null,Minsalud
259,912945,noel vega,26,M,Apartado,22,false,Fondo extranjero,Policia
260,529619,ivan garcia,33,F,Pitalito,57,true,Porvenir,Inpec
261,187674,felicia rodriguez,43,F,Inirida,48,false,Colfondos,Armada
262,786448,beto zapata,48,M,Tunja,27,false,Porvenir,Policia
263,919782,montserrat mora,29,M,Monteria,25,false,Null,Minsalud
264,501358,vicente garcia,31,F,Yopal,30,true,Porvenir,Inpec
265,605753,diana bautista,29,M,Pereira,53,false,Old Mutual,Armada
266,860290,federico mora,47,F,Monteria,27,false,Colfondos,Armada
267,617092,hugo rojas,32,M,Riohacha,30,true,Null,Inpec
268,271785,walter aguilar,46,M,Pasto,45,true,Fondo extranjero,Minsalud
269,542536,carlos torres,56,F,Pasto,33,false,Old Mutual,Mininterior
270,672992,kira castillo,45,F,Ibague,49,false,Null,Mininterior
271,832727,gabriel flores,31,F,Girardot,24,true,Porvenir,Policia
272,402960,veronica rojas,48,M,Riohacha,54,false,Old Mutual,Armada
273,631511,noel hernandez,50,F,Cucuta,51,false,Porvenir,Armada
274,995652,yolanda rodriguez,29,F,Santa Marta,53,false,Old Mutual,Policia
275,983043,victor vega,44,F,Bogota,41,true,Proteccion,Minsalud
276,815417,kira cameron,52,M,Santa Marta,56,false,Colpensiones,Armada
277,674319,sofia moreno,34,F,Arauquita,23,true,Null,Inpec
278,751216,hugo rodriguez,51,M,Cali,42,false,Porvenir,Null
279,692968,javier gomez,59,M,Valledupar,32,false,Null,Mininterior
280,288482,walter ramirez,55,F,Soacha,52,false,Proteccion,Null
281,994037,blanca gonzalez,39,F,Barranquilla,28,false,Porvenir,Minsalud
282,200144,wenceslao cameron,58,F,Leticia,21,true,Fondo extranjero,Policia
283,287902,claudia marin,32,M,Leticia,25,true,Colfondos,Minsalud
284,740054,montserrat reyes,35,F,Cucuta,31,true,Proteccion,Inpec
285,999655,ricardo cifuentes,23,M,Cucuta,58,true,Old Mutual,Policia
286,406587,juan ron,58,F,Pereira,26,true,Old Mutual,Inpec
287,867129,gabriel alfaro,38,F,Inirida,37,false,Colpensiones,Minsalud
288,558503,esteban romero,44,M,Apartado,42,false,Fondo extranjero,Mininterior
289,538077,teresa garcia,42,F,Ibague,53,true,Old Mutual,Mininterior
290,968465,gema calderon,28,M,Valledupar,47,true,Fondo extranjero,Inpec
291,312453,victor hernandez,45,M,Girardot,23,true,Null,Mininterior
292,985076,zoe rojas,22,F,Soacha,57,true,Null,Policia
293,755945,josue rivas,30,M,Ibague,29,false,Colpensiones,Minsalud
294,495646,patricia gonzalez,32,M,Manizales,41,true,Fondo extranjero,Null
295,147370,angela serrano,57,M,Santa Marta,21,false,Colpensiones,Inpec
296,805188,gema martinez,41,F,Valledupar,36,false,Porvenir,Null
297,694487,graciela pineda,31,F,Sincelejo,28,false,Porvenir,Armada
298,628821,victor ron,24,F,Manizales,36,false,Fondo extranjero,Mininterior
299,772585,xavier montero,47,F,Cucuta,34,true,Colfondos,Policia
300,770569,teresa quintero,57,F,Sincelejo,47,true,Colpensiones,Inpec
301,837325,walter rodrigo,55,F,Monteria,55,true,Fondo extranjero,Minsalud
302,579413,sonia medina,24,M,Valledupar,31,false,Colpensiones,Null
303,452509,karen bernal,36,F,Girardot,51,true,Porvenir,Policia
304,619262,raul vega,43,M,Tunja,54,false,Colpensiones,Inpec
305,924331,zoe jimenez,50,F,Pereira,45,true,Porvenir,Inpec
306,844135,hugo hernandez,59,M,Santa Rosa de Cabal,21,false,Null,Null
307,206235,vicente montero,24,M,Monteria,55,true,Porvenir,Null
308,825417,noel mora,25,M,Soacha,38,false,Porvenir,Null
309,509707,ximena gonzalez,37,M,Arauquita,53,false,Colpensiones,Null
310,938814,pablo medina,28,F,Arauca,22,true,Porvenir,Inpec
311,115794,felicia calderon,43,M,Barranquilla,47,false,Colfondos,Mininterior
312,984281,fabio pinto,46,F,Valledupar,43,false,Null,Inpec
313,241090,ivana gonzalez,27,F,Cartagena,50,true,Colpensiones,Armada
314,168885,pedro pineda,38,M,Monteria,26,true,Colfondos,Armada
315,273995,rosa gonzalez,30,M,Chia,31,true,Null,Mininterior
316,128008,elsa gonzalez,41,M,Arauquita,60,true,Colpensiones,Minsalud
317,266141,zoraida moreno,56,M,Cali,31,false,Null,Minsalud
318,728084,federico juarez,43,F,Sincelejo,24,true,Old Mutual,Inpec
319,790985,quiana sanchez,26,F,Cartagena,30,false,Colpensiones,Mininterior
320,757209,pablo lopez,49,F,Armenia,42,true,Null,Armada
321,918692,gloria perez,52,M,Cucuta,56,false,Colpensiones,Inpec
322,727498,nadia montero,34,F,Arauquita,22,true,Fondo extranjero,Null
323,982313,iris herrera,24,M,Barranquilla,31,true,Old Mutual,Policia
324,926395,raul hinojosa,58,F,Sincelejo,29,true,Colpensiones,Inpec
325,843962,alexander rojas,45,F,Ibague,53,true,Colpensiones,Null
326,547124,marta gonzalez,59,M,Pasto,54,false,Porvenir,Armada
327,419555,claudia sarmiento,55,F,Leticia,38,false,Old Mutual,Armada
328,850500,juanita castillo,52,M,Riohacha,60,true,Fondo extranjero,Minsalud
329,394810,julieta gonzalez,52,M,Cartagena,31,true,Fondo extranjero,Mininterior
330,465012,laura sanchez,44,M,Manizales,24,false,Colfondos,Minsalud
331,383975,norma mendoza,47,F,Santa Rosa de Cabal,29,true,Colpensiones,Inpec
332,185110,gema martinez,22,F,Valledupar,54,false,Old Mutual,Armada
333,221275,urbano ferrari,40,F,Pereira,49,true,Porvenir,Null
334,121146,tatiana perez,34,M,Leticia,52,true,Colpensiones,Mininterior
335,701664,luisana aguilar,42,M,Pitalito,27,true,Proteccion,Armada
336,214365,karina garcia,37,F,Inirida,47,false,Colfondos,Null
337,190029,luis gomez,21,F,Girardot,33,false,Null,Null
338,779646,carlos gomez,32,F,Riohacha,48,false,Colpensiones,Null
339,539315,tatiana franco,56,F,Girardot,48,false,Proteccion,Minsalud
340,665422,samuel bautista,44,M,Valledupar,26,true,Colfondos,Armada
341,256058,wenceslao guadalupe,48,M,Chia,34,true,Colpensiones,Armada
342,183363,valeria mendoza,22,F,Inirida,55,false,Fondo extranjero,Policia
343,384481,pedro silva,51,F,Quibdo,39,true,Colfondos,Armada
344,398282,oscar delgado,26,F,Florencia,29,true,Colfondos,Null
345,606725,isabel castillo,37,M,Valledupar,56,true,Colpensiones,Null
346,484534,silvia bustos,21,F,Manizales,28,true,Fondo extranjero,Null
347,432800,raul fuentes,30,M,Valledupar,56,false,Old Mutual,Inpec
348,697240,angela hinojosa,43,F,Soacha,40,false,Porvenir,Inpec
349,694541,montserrat pico,52,F,Bogota,26,true,Colfondos,Policia
350,839948,daniel roa,60,F,Cucuta,30,false,Null,Mininterior
351,905158,hector hidalgo,43,F,Ibague,46,true,Fondo extranjero,Policia
352,613997,alfonso doris,43,M,Medellin,48,true,Colfondos,Mininterior
353,170090,daniel pizarro,22,F,Santa Rosa de Cabal,32,true,Colfondos,Minsalud
354,258887,pablo alvarado,42,F,Chia,57,true,Porvenir,Null
355,357662,isabela barrera,59,M,Cali,35,true,Fondo extranjero,Mininterior
356,140327,yolanda martinez,38,F,Chia,50,false,Proteccion,Mininterior
357,437646,samuel leon,29,M,Cartagena,54,true,Proteccion,Armada
358,720241,eduardo pino,44,M,Popayan,51,false,Fondo extranjero,Inpec
359,745744,raul gomez,37,M,Yopal,48,false,Fondo extranjero,Armada
360,769965,josue garcia,47,M,Popayan,34,false,Proteccion,Null
361,786149,hugo quintana,52,F,Chia,30,true,Null,Armada
362,736159,cristobal medina,42,M,Armenia,55,false,Old Mutual,Policia
363,432092,marcos castro,36,M,Monteria,45,false,Colpensiones,Mininterior
364,598385,jorge vega,24,F,Sincelejo,41,true,Porvenir,Mininterior
365,933941,isabela barrios,20,F,Bogota,28,true,Proteccion,Minsalud
366,515022,susana gonzalez,42,F,Apartado,22,true,Old Mutual,Armada
367,287967,fabiola delgado,44,M,Arauquita,30,true,Old Mutual,Inpec
368,426830,susana bustos,33,M,Barranquilla,25,false,Fondo extranjero,Minsalud
369,366302,ricardo reyes,50,M,Pereira,45,false,Proteccion,Mininterior
370,538217,ximena zapata,37,M,Barranquilla,52,false,Colfondos,Mininterior
371,721645,carmen rodriguez,26,F,Armenia,52,true,Colpensiones,Inpec
372,963850,luis rojas,24,M,Sincelejo,35,false,Null,Minsalud
373,675003,karen fuentes,38,M,Arauca,45,true,Fondo extranjero,Armada
374,867777,helena vargas,56,M,Pasto,52,true,Proteccion,Mininterior
375,158196,nerea rojas,34,M,Ibague,25,false,Colfondos,Null
376,114644,ivonne sanchez,49,F,Barranquilla,28,true,Proteccion,Inpec
377,975327,esteban caro,43,M,Santa Marta,21,true,Fondo extranjero,Policia
