id_caracterizacion,cedula,nombre,entidadPublica,condecoraciones,hijosEntidadPublica,familiarPolicia,mayorEdadFamiliarPolicia,observacionesDisciplinarias,tipoInstitucionLegal,sanciones
112,796069,wilson cifuentes,Policia,true,true,true,false,ObservacionMinsalud,Procuraduria,false
113,395490,pedro morales,Minsalud,true,false,true,true,ObservacionMininterior,Procuraduria,true
114,845876,carmen sierra,Null,true,false,true,true,Null,Fiscalia,false
115,107452,marta vega,Mininterior,true,true,true,false,ObservacionInpec,Contraloria,true
116,940733,benito martinez,Null,false,true,true,true,ObservacionArmada,Contraloria,false
117,727062,felipe david,Policia,false,true,false,true,ObservacionMinsalud,Fiscalia,false
118,490625,mariana rojas,Mininterior,true,false,true,true,ObservacionInpec,Null,false
119,341763,samuel cifuentes,Null,true,false,false,false,ObservacionMinsalud,Contraloria,false
120,631401,belan martinez,Inpec,true,true,false,false,ObservacionArmada,Contraloria,true
121,872685,cesar bautista,Minsalud,true,true,true,true,ObservacionInpec,Procuraduria,false
122,140822,patricia rojas,Inpec,false,true,true,false,ObservacionMininterior,Contraloria,true
123,394526,esteban moreno,Inpec,true,true,true,false,ObservacionArmada,Procuraduria,false
124,483167,benjamin romero,Policia,true,true,false,false,ObservacionMinsalud,Null,false
125,906646,isabel salas,Mininterior,false,true,false,false,ObservacionMinsalud,Procuraduria,true
126,296306,nicolas carrillo,Inpec,false,true,false,true,ObservacionArmada,Procuraduria,true
127,946656,mariana castro,Policia,true,false,true,true,ObservacionMinsalud,Contraloria,true
128,657637,carmen rodriguez,Null,false,false,true,true,ObservacionInpec,Null,true
129,953482,oscar torres,Inpec,true,false,true,true,ObservacionMinsalud,Fiscalia,true
130,844575,pablo hernandez,Armada,true,false,true,true,ObservacionMininterior,Null,true
131,866842,nicolas aguilar,Inpec,true,true,false,true,ObservacionInpec,Contraloria,true
132,493739,benjamin montoya,Armada,false,true,true,true,Null,Procuraduria,true
133,801243,natividad guzman,Mininterior,true,true,false,false,ObservacionMininterior,Fiscalia,false
134,671804,vicente reyes,Minsalud,true,true,false,true,Null,Fiscalia,false
135,659358,kevin fuentes,Armada,true,true,false,false,ObservacionInpec,Contraloria,true
136,201388,karen alvarado,Minsalud,false,true,false,true,ObservacionArmada,Fiscalia,false
137,151534,veronica rodriguez,Policia,true,false,false,false,Null,Procuraduria,false
138,871757,raul romero,Minsalud,false,false,false,false,Null,Procuraduria,true
139,372490,andres martinez,Mininterior,true,true,false,true,Null,Procuraduria,false
140,197289,fabiola murillo,Inpec,true,true,false,false,ObservacionInpec,Procuraduria,true
141,669745,alicia gonzalez,Minsalud,false,false,false,false,ObservacionInpec,Null,false
142,471881,teresa lira,Inpec,true,true,false,true,ObservacionMininterior,Procuraduria,false
143,927818,sonia fuentes,Null,false,false,true,false,ObservacionInpec,Procuraduria,true
144,879113,beronica romero,Inpec,false,true,false,true,ObservacionInpec,Contraloria,false
145,486224,diana rodrigo,Null,false,false,true,true,ObservacionArmada,Procuraduria,false
146,262728,daniel gonzalez,Armada,true,true,false,false,ObservacionMininterior,Fiscalia,true
147,323165,josue perez,Armada,false,true,true,false,ObservacionInpec,Contraloria,true
148,925305,mario fuentes,Minsalud,false,true,true,false,Null,Procuraduria,false
149,543049,zulema pico,Policia,false,true,false,false,ObservacionInpec,Null,false
150,733360,ricardo sierra,Policia,true,false,true,false,ObservacionInpec,Fiscalia,true
151,446528,julieta martinez,Null,true,false,true,true,ObservacionMininterior,Procuraduria,false
152,661316,zacarias gil,Policia,true,false,false,false,ObservacionArmada,Fiscalia,false
153,708072,zulema valverde,Armada,false,false,false,true,ObservacionMinsalud,Fiscalia,false
154,777155,montserrat montero,Null,false,false,false,true,ObservacionMininterior,Contraloria,true
155,299121,patricia pino,Inpec,false,false,true,true,ObservacionInpec,Null,true
156,200950,eliza flores,Minsalud,false,false,false,false,ObservacionInpec,Contraloria,false
157,504757,pablo mendoza,Null,true,false,true,true,ObservacionMinsalud,Contraloria,false
158,449039,emilio hernandez,Null,true,true,true,false,ObservacionInpec,Null,false
159,626579,gerardo soto,Policia,false,true,false,true,ObservacionMininterior,Procuraduria,true
160,846107,tomas gomez,Inpec,true,false,false,true,Null,Procuraduria,true
161,510321,alex castillo,Armada,true,true,false,false,ObservacionInpec,Fiscalia,true
162,222266,nerea pardo,Armada,true,true,true,false,ObservacionArmada,Null,true
163,213623,javier delgado,Policia,true,false,false,true,Null,Contraloria,false
164,128022,sergio valverde,Minsalud,true,true,false,false,Null,Fiscalia,true
165,531527,wilfredo sanchez,Mininterior,false,true,true,false,ObservacionInpec,Fiscalia,false
166,972721,elsa rodrigo,Mininterior,true,true,false,true,ObservacionMinsalud,Procuraduria,true
167,904803,hugo pico,Mininterior,true,true,false,true,ObservacionInpec,Null,true
168,115336,sonia serrano,Inpec,false,true,true,true,ObservacionMinsalud,Procuraduria,true
169,854279,yadira perez,Mininterior,false,true,true,true,Null,Contraloria,true
170,407028,samuel sanchez,Policia,true,true,false,true,ObservacionInpec,Fiscalia,true
171,792211,luis bautista,Null,false,true,false,false,ObservacionArmada,Procuraduria,false
172,680775,david castro,Minsalud,false,true,true,false,ObservacionMinsalud,Fiscalia,false
173,314134,mario cameron,Armada,true,false,false,false,ObservacionArmada,Fiscalia,true
174,145416,sonia delgado,Null,false,false,false,false,ObservacionMininterior,Procuraduria,true
175,167173,teresa cruz,Mininterior,true,false,false,true,ObservacionInpec,Null,false
176,655456,elias barrios,Policia,true,true,true,true,ObservacionMininterior,Fiscalia,false
177,141866,isabela caro,Minsalud,false,true,false,false,ObservacionArmada,Null,false
178,664609,alicia hernandez,Null,false,false,true,true,Null,Procuraduria,false
179,263610,alexander quintana,Minsalud,false,false,true,true,ObservacionInpec,Contraloria,false
180,970003,esteban rodriguez,Policia,true,true,false,false,ObservacionInpec,Null,false
181,499674,zoraida vega,Null,true,true,true,true,ObservacionArmada,Contraloria,true
182,201458,federico torres,Inpec,true,true,false,false,ObservacionMinsalud,Procuraduria,true
183,291359,vicente castillo,Null,true,false,true,true,Null,Fiscalia,false
184,915217,pablo castillo,Armada,false,true,true,false,Null,Procuraduria,false
185,136154,veronica fuentes,Null,true,false,false,true,ObservacionMininterior,Fiscalia,false
186,677147,graciela sierra,Inpec,true,true,false,true,ObservacionArmada,Contraloria,true
187,502835,karla rodriguez,Armada,true,false,false,false,ObservacionMininterior,Procuraduria,false
188,634299,sonia ramirez,Armada,false,true,false,false,ObservacionArmada,Fiscalia,false
189,384748,fernando bautista,Null,true,true,false,true,ObservacionInpec,Fiscalia,true
190,636534,hector henao,Armada,false,true,true,false,ObservacionMininterior,Procuraduria,false
191,655146,bruno rojas,Mininterior,true,true,true,false,ObservacionArmada,Contraloria,true
192,516066,vicente romero,Null,true,false,true,true,Null,Procuraduria,false
193,849497,hugo torres,Inpec,false,false,false,true,ObservacionInpec,Contraloria,true
194,445095,jorge pinto,Mininterior,true,true,false,true,Null,Null,true
195,899766,gonzalo maron,Mininterior,true,true,true,false,Null,Null,false
196,827486,miriam garcia,Minsalud,false,false,false,true,ObservacionInpec,Fiscalia,true
197,643783,gabriel flores,Mininterior,true,true,true,true,ObservacionMininterior,Contraloria,false
198,743527,robinson hernandez,Armada,false,false,false,false,Null,Null,false
199,720559,zulema henao,Policia,true,false,false,true,ObservacionMinsalud,Procuraduria,false
200,739477,susana romero,Policia,false,true,true,true,ObservacionMininterior,Null,false
201,950701,david silva,Policia,false,false,true,true,ObservacionMininterior,Fiscalia,false
202,104116,manuel marin,Policia,false,true,true,false,ObservacionMinsalud,Fiscalia,false
203,316145,eliza mora,Minsalud,false,false,false,true,ObservacionMinsalud,Fiscalia,true
204,438098,hugo sanchez,Minsalud,false,true,false,false,Null,Null,true
205,243114,olga quintero,Minsalud,false,true,false,true,ObservacionMinsalud,Null,true
206,982335,tomas ramirez,Policia,false,false,true,false,ObservacionMininterior,Procuraduria,false
207,173034,rami murillo,Minsalud,false,false,false,true,ObservacionArmada,Procuraduria,true
208,492742,urbano pardo,Null,false,true,false,true,ObservacionInpec,Procuraduria,true
209,190748,teresa martinez,Inpec,false,false,false,true,Null,Procuraduria,true
210,730841,oscar guzman,Mininterior,true,false,true,false,Null,Contraloria,true
211,185183,emilio pinto,Armada,false,true,false,false,ObservacionArmada,Null,false
212,781480,xavier bernal,Armada,false,false,true,false,ObservacionMininterior,Procuraduria,true
213,646133,wilfredo pino,Null,true,false,true,true,ObservacionInpec,Null,false
214,903171,vicente soto,Minsalud,false,true,true,true,ObservacionMinsalud,Contraloria,true
215,982059,ivonne salas,Mininterior,true,true,true,true,Null,Null,true
216,514252,ana cifuentes,Null,true,false,false,false,ObservacionArmada,Fiscalia,true
217,127887,tomas juarez,Policia,false,false,false,true,ObservacionMinsalud,Null,false
218,695994,claudia pico,Minsalud,false,false,true,false,ObservacionInpec,Fiscalia,false
219,463759,eugenia garcia,Armada,false,false,false,false,ObservacionArmada,Fiscalia,true
220,551914,yolanda rojas,Null,true,true,false,true,Null,Fiscalia,false
221,179752,lucia alvarado,Null,false,true,false,false,ObservacionMinsalud,Contraloria,true
222,896068,rosa gonzalez,Mininterior,false,false,false,true,Null,Procuraduria,false
223,736209,zulema perez,Minsalud,true,true,false,true,ObservacionMininterior,Procuraduria,false
224,482582,luis fuentes,Armada,false,true,true,true,ObservacionMinsalud,Contraloria,true
225,347344,olga delgado,Null,true,true,true,false,ObservacionInpec,Fiscalia,true
226,160322,kevin hidalgo,Policia,false,true,false,true,ObservacionMinsalud,Fiscalia,false
227,411396,carmen romero,Mininterior,false,true,true,false,ObservacionInpec,Procuraduria,false
228,820127,karla bernal,Mininterior,true,true,false,false,Null,Procuraduria,true
229,347847,daniel roa,Minsalud,false,true,false,true,ObservacionArmada,Null,false
230,282458,noel garcia,Mininterior,false,false,false,false,ObservacionMinsalud,Fiscalia,true
231,285742,ursula carrillo,Policia,true,false,true,true,Null,Fiscalia,true
232,291758,leonardo castillo,Minsalud,false,false,false,false,ObservacionArmada,Procuraduria,true
233,841229,rami rodriguez,Armada,true,true,true,false,ObservacionMininterior,Fiscalia,false
234,685000,sergio franco,Minsalud,false,false,true,true,ObservacionMinsalud,Fiscalia,false
235,610287,nicolas romero,Null,true,false,true,true,ObservacionMinsalud,Fiscalia,true
236,650724,alberto alvarado,Armada,false,false,true,false,ObservacionMininterior,Procuraduria,true
237,822489,jorge vega,Inpec,false,true,true,true,Null,Contraloria,true
238,983882,vicente rodrigo,Minsalud,false,false,false,false,ObservacionMininterior,Procuraduria,true
239,619975,susana vega,Policia,false,true,true,false,Null,Fiscalia,true
240,637176,olga rivera,Minsalud,true,false,false,false,ObservacionInpec,Null,false
241,189395,noel fuentes,Armada,true,true,true,false,Null,Null,false
242,414029,zulema torres,Inpec,false,true,true,false,ObservacionMinsalud,Null,true
243,926967,josue pino,Minsalud,true,false,true,true,ObservacionInpec,Fiscalia,false
244,685203,katerina pico,Inpec,false,true,true,false,ObservacionInpec,Contraloria,true
245,116165,hugo castro,Minsalud,true,false,false,true,Null,Procuraduria,true
246,371648,sofia pinto,Null,true,true,false,true,ObservacionMinsalud,Contraloria,true
247,387569,dolores alvarado,Armada,true,false,false,true,ObservacionInpec,Null,false
248,489489,bianca roa,Minsalud,true,true,true,false,Null,Contraloria,false
249,854580,gerardo martinez,Policia,true,false,false,true,Null,Fiscalia,false
250,563515,carmen gonzalez,Null,false,false,false,true,Null,Null,true
251,385843,hugo romero,Policia,true,false,false,false,Null,Procuraduria,false
252,411103,fernando ramirez,Armada,false,false,true,true,ObservacionArmada,Contraloria,true
253,336532,claudia torres,Null,false,false,false,false,ObservacionArmada,Procuraduria,false
254,690164,mario hidalgo,Armada,true,true,false,true,ObservacionMinsalud,Procuraduria,true
255,351285,carlos roberto,Null,true,false,true,false,ObservacionMinsalud,Contraloria,false
256,927411,ricardo montero,Policia,false,false,false,false,ObservacionArmada,Null,true
257,597026,quiana rojas,Inpec,false,false,true,false,ObservacionMinsalud,Contraloria,false
258,920231,quiana torres,Policia,true,false,false,false,ObservacionInpec,Procuraduria,false
259,193579,isabela gonzalez,Mininterior,true,false,false,false,ObservacionMinsalud,Fiscalia,false
260,562612,patricia ramirez,Null,false,true,false,false,ObservacionArmada,Null,true
261,759603,ivana bustos,Mininterior,false,false,true,false,Null,Procuraduria,true
262,801479,belan alvarado,Null,true,true,true,true,ObservacionMinsalud,Procuraduria,false
263,783021,xavier aguilar,Null,false,false,false,true,Null,Null,true
264,137167,guillermo montero,Minsalud,false,true,false,true,Null,Contraloria,false
265,445201,javier gomez,Minsalud,true,false,true,false,ObservacionArmada,Procuraduria,true
266,106446,katerina marin,Minsalud,false,false,true,true,ObservacionMininterior,Null,true
267,297851,alex montero,Mininterior,true,false,false,true,ObservacionInpec,Contraloria,false
268,196346,karla torres,Null,false,false,true,false,ObservacionArmada,Contraloria,false
269,872943,miriam rivas,Inpec,false,true,false,false,ObservacionMininterior,Null,true
270,476646,vicente flores,Policia,false,false,true,true,ObservacionMinsalud,Contraloria,true
271,230565,angela santa,Null,false,true,false,true,ObservacionMinsalud,Contraloria,false
272,524208,jorge castillo,Mininterior,true,true,false,true,ObservacionMinsalud,Null,true
273,413114,jorge delgado,Minsalud,false,true,false,false,ObservacionInpec,Contraloria,true
274,383226,oscar marin,Mininterior,false,true,true,false,ObservacionMinsalud,Fiscalia,false
275,623952,dolores montero,Inpec,false,false,true,true,ObservacionMinsalud,Null,true
276,262513,gloria cifuentes,Policia,false,true,true,true,ObservacionInpec,Procuraduria,false
277,702231,susana ruiz,Armada,false,true,true,true,ObservacionMininterior,Null,true
278,491588,sonia morales,Mininterior,true,true,false,true,Null,Fiscalia,true
279,460284,natividad pinto,Minsalud,true,false,true,false,Null,Null,false
280,158141,barbara ramirez,Null,false,false,false,false,ObservacionMinsalud,Fiscalia,false
281,746836,miriam montero,Minsalud,true,false,true,false,Null,Null,false
282,159100,alex diaz,Null,false,true,true,true,ObservacionMininterior,Null,false
283,827018,gonzalo garcia,Inpec,false,true,true,false,ObservacionInpec,Procuraduria,false
284,165141,eliza medina,Mininterior,true,false,false,false,ObservacionInpec,Contraloria,true
285,214078,josue castillo,Minsalud,true,true,false,false,ObservacionMininterior,Procuraduria,true
286,185122,roberto rojas,Armada,false,true,false,false,Null,Null,true
287,638945,eugenia reyes,Mininterior,false,true,true,true,ObservacionMininterior,Fiscalia,false
288,464598,fernando perez,Null,false,true,true,true,ObservacionMininterior,Procuraduria,true
289,639001,gema montero,Armada,false,true,true,false,ObservacionMininterior,Contraloria,true
290,414417,zoe jimenez,Mininterior,true,true,true,true,ObservacionInpec,Contraloria,false
291,303544,eugenia murillo,Armada,false,true,true,true,ObservacionArmada,Fiscalia,false
292,696186,quiana cabrera,Mininterior,true,true,true,true,Null,Procuraduria,true
293,567094,zulema sanchez,Minsalud,true,false,true,true,ObservacionInpec,Procuraduria,true
294,840426,pedro carrillo,Inpec,true,false,true,false,ObservacionMinsalud,Fiscalia,false
295,898263,valeria guzman,Null,false,false,false,false,Null,Procuraduria,true
296,235732,dolores garcia,Minsalud,false,true,false,false,ObservacionInpec,Fiscalia,false
297,982119,xavier vargas,Armada,false,true,true,false,Null,Procuraduria,true
298,268288,pilar salazar,Armada,true,false,true,false,ObservacionInpec,Contraloria,true
299,375040,claudia barrera,Policia,true,true,false,true,ObservacionMinsalud,Procuraduria,false
300,569935,veronica sanchez,Mininterior,true,false,false,true,ObservacionInpec,Procuraduria,true
301,561239,ana gomez,Minsalud,false,false,false,true,ObservacionMinsalud,Contraloria,false
302,719022,zulema jimenez,Policia,true,true,false,false,ObservacionMinsalud,Null,true
303,369043,zoe romero,Policia,true,true,true,false,ObservacionMinsalud,Procuraduria,false
304,983724,gloria silva,Minsalud,false,false,false,true,ObservacionMinsalud,Contraloria,true
305,565405,alex reyes,Null,false,true,true,false,ObservacionInpec,Contraloria,true
306,864602,samuel carrillo,Null,false,true,true,false,ObservacionMininterior,Null,true
307,272021,norma fuentes,Minsalud,false,true,false,true,Null,Null,true
308,538974,tomas rodriguez,Mininterior,true,false,false,true,ObservacionMininterior,Procuraduria,false
309,887223,natividad ferrer,Null,true,false,true,true,Null,Contraloria,false
310,683660,yolanda soto,Inpec,false,true,true,false,ObservacionMinsalud,Fiscalia,false
311,235865,luis marin,Null,false,true,true,false,ObservacionArmada,Contraloria,false
312,240587,mariana pineda,Null,false,true,true,false,ObservacionMinsalud,Procuraduria,true
313,700699,noelia caro,Minsalud,true,false,false,true,ObservacionArmada,Procuraduria,true
314,430455,raul ramirez,Minsalud,true,false,true,false,ObservacionInpec,Contraloria,false
315,730879,karla sarmiento,Inpec,false,true,false,true,ObservacionArmada,Contraloria,true
316,429864,zulema murillo,Inpec,false,false,true,true,ObservacionArmada,Fiscalia,true
317,531632,zulema rojas,Null,true,false,false,false,Null,Contraloria,true
318,282667,bianca silva,Minsalud,true,true,false,false,ObservacionMinsalud,Contraloria,true
319,676418,esteban cruz,Minsalud,true,false,false,true,ObservacionMinsalud,Procuraduria,false
320,978713,blanca torres,Mininterior,false,true,false,true,ObservacionArmada,Null,false
321,353859,guillermo barrios,Minsalud,true,true,false,false,ObservacionMininterior,Null,false
322,995966,wenceslao caro,Policia,false,true,false,false,ObservacionMinsalud,Null,true
323,477464,bruno vargas,Inpec,true,false,true,true,Null,Procuraduria,false
324,279180,zoe castillo,Null,false,true,true,false,ObservacionMinsalud,Procuraduria,false
325,499614,kike alvarado,Minsalud,false,false,true,true,ObservacionMinsalud,Contraloria,true
326,804477,alberto gonzalez,Inpec,true,true,true,false,ObservacionMinsalud,Contraloria,true
327,610521,sergio quintero,Null,false,true,true,false,ObservacionInpec,Null,false
328,107577,victor torres,Inpec,false,false,false,false,ObservacionArmada,Contraloria,true
329,170683,hector diaz,Mininterior,true,false,true,true,ObservacionInpec,Fiscalia,false
330,588956,kira vasquez,Mininterior,true,true,false,true,ObservacionMininterior,Fiscalia,false
331,148650,javier rodrigo,Minsalud,true,false,false,true,ObservacionArmada,Null,false
332,882432,luis gonzalez,Mininterior,false,true,false,true,ObservacionMinsalud,Contraloria,true
333,491326,sergio rodriguez,Policia,true,true,false,false,Null,Contraloria,false
334,475422,carmen quintero,Inpec,true,false,true,false,ObservacionArmada,Fiscalia,true
335,117210,sergio castro,Mininterior,false,true,false,false,ObservacionInpec,Procuraduria,true
336,257638,olga marquez,Null,false,false,true,true,Null,Contraloria,true
337,815305,mariana vega,Mininterior,true,true,false,false,ObservacionMininterior,Procuraduria,true
